snapshot_date,yt_subscribers,naver_total_news,subs_source,news_source,yt_total_videos,yt_total_views
2026-02-23,,1001,no_snapshot,https://search.naver.com/search.naver?where=news&query=%22%EC%98%A4%EC%9C%84%EC%8A%A4%22%7C%22OWIS%22&sort=1&pd=3&ds=2026.02.23&de=2026.03.01,,
2026-03-02,,0,no_snapshot,https://search.naver.com/search.naver?where=news&query=%22%EC%98%A4%EC%9C%84%EC%8A%A4%22%7C%22OWIS%22&sort=1&pd=3&ds=2026.03.02&de=2026.03.08,,
2026-03-09,,0,no_snapshot,https://search.naver.com/search.naver?where=news&query=%22%EC%98%A4%EC%9C%84%EC%8A%A4%22%7C%22OWIS%22&sort=1&pd=3&ds=2026.03.09&de=2026.03.15,,
2026-03-16,,0,no_snapshot,https://search.naver.com/search.naver?where=news&query=%22%EC%98%A4%EC%9C%84%EC%8A%A4%22%7C%22OWIS%22&sort=1&pd=3&ds=2026.03.16&de=2026.03.22,,
2026-03-23,,0,no_snapshot,https://search.naver.com/search.naver?where=news&query=%22%EC%98%A4%EC%9C%84%EC%8A%A4%22%7C%22OWIS%22&sort=1&pd=3&ds=2026.03.23&de=2026.03.29,,
2026-03-30,,0,no_snapshot,https://search.naver.com/search.naver?where=news&query=%22%EC%98%A4%EC%9C%84%EC%8A%A4%22%7C%22OWIS%22&sort=1&pd=3&ds=2026.03.30&de=2026.04.05,,
2026-04-06,,0,no_snapshot,https://search.naver.com/search.naver?where=news&query=%22%EC%98%A4%EC%9C%84%EC%8A%A4%22%7C%22OWIS%22&sort=1&pd=3&ds=2026.04.06&de=2026.04.12,,
2026-04-13,,4,no_snapshot,https://search.naver.com/search.naver?where=news&query=%22%EC%98%A4%EC%9C%84%EC%8A%A4%22%7C%22OWIS%22&sort=1&pd=3&ds=2026.04.13&de=2026.04.19,,
2026-04-20,,8,no_snapshot,https://search.naver.com/search.naver?where=news&query=%22%EC%98%A4%EC%9C%84%EC%8A%A4%22%7C%22OWIS%22&sort=1&pd=3&ds=2026.04.20&de=2026.04.26,,
2026-04-23,65099,,https://socialblade.com/youtube/handle/owis_official,,,
2026-04-24,65200,,https://socialblade.com/youtube/handle/owis_official,,,
2026-04-25,66400,,https://socialblade.com/youtube/handle/owis_official,,,
2026-04-26,66200,,https://socialblade.com/youtube/handle/owis_official,,,
2026-04-27,66100,1,https://socialblade.com/youtube/handle/owis_official,https://search.naver.com/search.naver?where=news&query=%22%EC%98%A4%EC%9C%84%EC%8A%A4%22%7C%22OWIS%22&sort=1&pd=3&ds=2026.04.27&de=2026.05.03,,
2026-04-28,66000,,https://socialblade.com/youtube/handle/owis_official,,,
2026-04-29,66100,,https://socialblade.com/youtube/handle/owis_official,,,
2026-04-30,66100,,https://socialblade.com/youtube/handle/owis_official,,,
2026-05-01,66200,,https://socialblade.com/youtube/handle/owis_official,,,
2026-05-02,66300,,https://socialblade.com/youtube/handle/owis_official,,,
2026-05-03,66600,,https://socialblade.com/youtube/handle/owis_official,,,
2026-05-04,66900,0,https://socialblade.com/youtube/handle/owis_official,https://search.naver.com/search.naver?where=news&query=%22%EC%98%A4%EC%9C%84%EC%8A%A4%22%7C%22OWIS%22&sort=1&pd=3&ds=2026.05.04&de=2026.05.10,,
2026-05-05,67100,,https://socialblade.com/youtube/handle/owis_official,,,
2026-05-06,67300,,https://socialblade.com/youtube/handle/owis_official,,,
